,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,3.0,1.0,2.0,0.0,0.0,[[3.]],[[1.]],[[2.]],[[0.]],[[0.]],[[0.]],[[2.]],[[2.]],[[0.]],[[0.]]
2,0,10.0,4.0,6.0,0.0,0.0,[[10.]],[[4.]],[[6.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[3.55301037]],[[0.]],[[0.]]
3,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[3.55301037]],[[0.]],[[0.]]
4,1,10.0,5.0,5.0,0.0,0.0,[[10.]],[[5.]],[[5.]],[[0.]],[[0.]],[[0.]],[[6.20891607]],[[4.78870812]],[[0.]],[[0.]]
5,1,23.0,12.0,11.0,0.0,0.0,[[23.]],[[12.]],[[11.]],[[0.]],[[0.]],[[0.]],[[8.19246748]],[[5.92867366]],[[0.]],[[0.]]
6,1,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[8.19246748]],[[5.92867366]],[[0.]],[[0.]]
7,2,16.0,9.0,7.0,0.0,0.0,[[16.]],[[9.]],[[7.]],[[0.]],[[0.]],[[0.]],[[10.17622491]],[[7.02286465]],[[0.]],[[0.]]
8,2,36.0,20.0,16.0,0.0,0.0,[[36.]],[[20.]],[[16.]],[[0.]],[[0.]],[[0.]],[[12.16203187]],[[8.21454486]],[[0.]],[[0.]]
9,2,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[12.16203187]],[[8.21454486]],[[0.]],[[0.]]
