,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,2.0,3.0,0.0,0.0,[[5.]],[[2.]],[[3.]],[[0.]],[[0.]],[[0.]],[[3.]],[[2.5]],[[0.]],[[0.]]
2,0,10.0,4.0,6.0,0.0,0.0,[[10.]],[[4.]],[[6.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[3.55301037]],[[0.]],[[0.]]
3,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[3.55301037]],[[0.]],[[0.]]
4,1,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[5.50476827]],[[4.09525463]],[[0.]],[[0.]]
5,1,10.0,6.0,4.0,0.0,0.0,[[10.]],[[6.]],[[4.]],[[0.]],[[0.]],[[0.]],[[6.53103348]],[[4.56988419]],[[0.]],[[0.]]
6,1,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[6.53103348]],[[4.56988419]],[[0.]],[[0.]]
7,2,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[7.41029204]],[[4.9975327]],[[0.]],[[0.]]
8,2,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[8.67365666]],[[4.9975327]],[[0.]],[[0.]]
9,2,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[8.67365666]],[[4.9975327]],[[0.]],[[0.]]
10,3,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[9.34793762]],[[5.39002677]],[[0.]],[[0.]]
11,3,10.0,7.0,3.0,0.0,0.0,[[10.]],[[7.]],[[3.]],[[0.]],[[0.]],[[0.]],[[10.17622491]],[[5.57555461]],[[0.]],[[0.]]
12,3,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[10.17622491]],[[5.57555461]],[[0.]],[[0.]]
13,4,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[10.94083045]],[[5.75490896]],[[0.]],[[0.]]
14,4,10.0,5.0,5.0,0.0,0.0,[[10.]],[[5.]],[[5.]],[[0.]],[[0.]],[[0.]],[[11.12363193]],[[6.42106118]],[[0.]],[[0.]]
