,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
159,0,73.0,35.0,38.0,0.0,0.0,[[73.]],[[35.]],[[38.]],[[0.]],[[0.]],[[0.]],[[44.92810715]],[[24.21906857]],[[0.]],[[0.]]
160,0,70.0,33.0,37.0,0.0,0.0,[[70.]],[[33.]],[[37.]],[[0.]],[[0.]],[[0.]],[[45.06152178]],[[24.30157786]],[[0.]],[[0.]]
161,0,70.0,34.0,36.0,0.0,0.0,[[70.]],[[34.]],[[36.]],[[0.]],[[0.]],[[0.]],[[45.23879531]],[[24.34272745]],[[0.]],[[0.]]
162,0,70.0,36.0,34.0,0.0,0.0,[[70.]],[[36.]],[[34.]],[[0.]],[[0.]],[[0.]],[[45.41537621]],[[24.38380748]],[[0.]],[[0.]]
163,0,69.0,37.0,32.0,0.0,0.0,[[69.]],[[37.]],[[32.]],[[0.]],[[0.]],[[0.]],[[45.59127254]],[[24.4248183]],[[0.]],[[0.]]
164,0,69.0,36.0,33.0,0.0,0.0,[[69.]],[[36.]],[[33.]],[[0.]],[[0.]],[[0.]],[[45.67896646]],[[24.54743899]],[[0.]],[[0.]]
165,0,71.0,36.0,35.0,0.0,0.0,[[71.]],[[36.]],[[35.]],[[0.]],[[0.]],[[0.]],[[45.81019228]],[[24.62884639]],[[0.]],[[0.]]
166,0,69.0,34.0,35.0,0.0,0.0,[[69.]],[[34.]],[[35.]],[[0.]],[[0.]],[[0.]],[[45.89746753]],[[24.75045463]],[[0.]],[[0.]]
167,0,70.0,36.0,34.0,0.0,0.0,[[70.]],[[36.]],[[34.]],[[0.]],[[0.]],[[0.]],[[46.11493233]],[[24.75045463]],[[0.]],[[0.]]
168,0,72.0,36.0,36.0,0.0,0.0,[[72.]],[[36.]],[[36.]],[[0.]],[[0.]],[[0.]],[[46.24491989]],[[24.83119538]],[[0.]],[[0.]]
169,0,73.0,35.0,38.0,0.0,0.0,[[73.]],[[35.]],[[38.]],[[0.]],[[0.]],[[0.]],[[46.33137547]],[[24.95181584]],[[0.]],[[0.]]
170,0,75.0,34.0,41.0,0.0,0.0,[[75.]],[[34.]],[[41.]],[[0.]],[[0.]],[[0.]],[[46.41766987]],[[25.07185507]],[[0.]],[[0.]]
171,0,75.0,34.0,41.0,0.0,0.0,[[75.]],[[34.]],[[41.]],[[0.]],[[0.]],[[0.]],[[46.54681123]],[[25.15156244]],[[0.]],[[0.]]
172,0,73.0,33.0,40.0,0.0,0.0,[[73.]],[[33.]],[[40.]],[[0.]],[[0.]],[[0.]],[[46.67559495]],[[25.23101762]],[[0.]],[[0.]]
173,0,72.0,31.0,41.0,0.0,0.0,[[72.]],[[31.]],[[41.]],[[0.]],[[0.]],[[0.]],[[46.76125354]],[[25.34973269]],[[0.]],[[0.]]
174,0,71.0,30.0,41.0,0.0,0.0,[[71.]],[[30.]],[[41.]],[[0.]],[[0.]],[[0.]],[[46.88944775]],[[25.4285677]],[[0.]],[[0.]]
175,0,72.0,32.0,40.0,0.0,0.0,[[72.]],[[32.]],[[40.]],[[0.]],[[0.]],[[0.]],[[47.05982966]],[[25.46789355]],[[0.]],[[0.]]
176,0,73.0,32.0,41.0,0.0,0.0,[[73.]],[[32.]],[[41.]],[[0.]],[[0.]],[[0.]],[[47.18721201]],[[25.54636335]],[[0.]],[[0.]]
177,0,74.0,32.0,42.0,0.0,0.0,[[74.]],[[32.]],[[42.]],[[0.]],[[0.]],[[0.]],[[47.2719427]],[[25.6636175]],[[0.]],[[0.]]
178,0,72.0,29.0,43.0,0.0,0.0,[[72.]],[[29.]],[[43.]],[[0.]],[[0.]],[[0.]],[[47.35652165]],[[25.78033756]],[[0.]],[[0.]]
179,0,72.0,29.0,43.0,0.0,0.0,[[72.]],[[29.]],[[43.]],[[0.]],[[0.]],[[0.]],[[47.48310736]],[[25.85785778]],[[0.]],[[0.]]
180,0,73.0,29.0,44.0,0.0,0.0,[[73.]],[[29.]],[[44.]],[[0.]],[[0.]],[[0.]],[[47.56731052]],[[25.97370368]],[[0.]],[[0.]]
181,0,74.0,32.0,42.0,0.0,0.0,[[74.]],[[32.]],[[42.]],[[0.]],[[0.]],[[0.]],[[47.77716858]],[[25.97370368]],[[0.]],[[0.]]
182,0,75.0,32.0,43.0,0.0,0.0,[[75.]],[[32.]],[[43.]],[[0.]],[[0.]],[[0.]],[[47.90264174]],[[26.05064765]],[[0.]],[[0.]]
183,0,76.0,32.0,44.0,0.0,0.0,[[76.]],[[32.]],[[44.]],[[0.]],[[0.]],[[0.]],[[48.02778681]],[[26.12736469]],[[0.]],[[0.]]
