,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,3.0,1.0,2.0,0.0,0.0,[[3.]],[[1.]],[[2.]],[[0.]],[[0.]],[[0.]],[[2.]],[[0.]],[[0.]],[[0.]]
2,0,8.0,4.0,4.0,0.0,0.0,[[8.]],[[4.]],[[4.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[0.]],[[0.]],[[0.]]
3,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[0.]],[[0.]],[[0.]]
4,1,7.0,5.0,2.0,0.0,0.0,[[7.]],[[5.]],[[2.]],[[0.]],[[0.]],[[0.]],[[6.20891607]],[[0.]],[[0.]],[[0.]]
5,1,16.0,12.0,4.0,0.0,0.0,[[16.]],[[12.]],[[4.]],[[0.]],[[0.]],[[0.]],[[8.19246748]],[[0.]],[[0.]],[[0.]]
6,1,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[8.19246748]],[[0.]],[[0.]],[[0.]]
7,2,11.0,9.0,2.0,0.0,0.0,[[11.]],[[9.]],[[2.]],[[0.]],[[0.]],[[0.]],[[10.17622491]],[[0.]],[[0.]],[[0.]]
8,2,24.0,20.0,4.0,0.0,0.0,[[24.]],[[20.]],[[4.]],[[0.]],[[0.]],[[0.]],[[12.16203187]],[[0.]],[[0.]],[[0.]]
9,2,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[12.16203187]],[[0.]],[[0.]],[[0.]]
