,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
0,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]]
1,0,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[4.21212121]],[[0.]],[[0.]],[[0.]]
2,0,10.0,9.0,1.0,0.0,0.0,[[10.]],[[9.]],[[1.]],[[0.]],[[0.]],[[0.]],[[6.20891607]],[[0.]],[[0.]],[[0.]]
3,0,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[6.20891607]],[[0.]],[[0.]],[[0.]]
4,1,5.0,5.0,0.0,0.0,0.0,[[5.]],[[5.]],[[0.]],[[0.]],[[0.]],[[0.]],[[7.68018693]],[[0.]],[[0.]],[[0.]]
5,1,10.0,9.0,1.0,0.0,0.0,[[10.]],[[9.]],[[1.]],[[0.]],[[0.]],[[0.]],[[8.67365666]],[[0.]],[[0.]],[[0.]]
6,1,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[8.67365666]],[[0.]],[[0.]],[[0.]]
7,2,5.0,5.0,0.0,0.0,0.0,[[5.]],[[5.]],[[0.]],[[0.]],[[0.]],[[0.]],[[9.77105225]],[[0.]],[[0.]],[[0.]]
8,2,10.0,10.0,0.0,0.0,0.0,[[10.]],[[10.]],[[0.]],[[0.]],[[0.]],[[0.]],[[10.75486815]],[[0.]],[[0.]],[[0.]]
9,2,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[10.75486815]],[[0.]],[[0.]],[[0.]]
10,3,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[11.30342932]],[[0.]],[[0.]],[[0.]]
11,3,10.0,6.0,4.0,0.0,0.0,[[10.]],[[6.]],[[4.]],[[0.]],[[0.]],[[0.]],[[11.82618363]],[[0.]],[[0.]],[[0.]]
12,3,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[11.82618363]],[[0.]],[[0.]],[[0.]]
13,4,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[12.48873042]],[[0.]],[[0.]],[[0.]]
14,4,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[13.11743975]],[[0.]],[[0.]],[[0.]]
15,4,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[13.11743975]],[[0.]],[[0.]],[[0.]]
16,5,5.0,5.0,0.0,0.0,0.0,[[5.]],[[5.]],[[0.]],[[0.]],[[0.]],[[0.]],[[13.86284163]],[[0.]],[[0.]],[[0.]]
17,5,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[14.29124059]],[[0.]],[[0.]],[[0.]]
18,5,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[14.29124059]],[[0.]],[[0.]],[[0.]]
19,6,5.0,4.0,1.0,0.0,0.0,[[5.]],[[4.]],[[1.]],[[0.]],[[0.]],[[0.]],[[14.84303492]],[[0.]],[[0.]],[[0.]]
20,6,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[15.37486269]],[[0.]],[[0.]],[[0.]]
21,6,0.0,0.0,0.0,0.0,0.0,[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[0.]],[[15.37486269]],[[0.]],[[0.]],[[0.]]
22,7,5.0,3.0,2.0,0.0,0.0,[[5.]],[[3.]],[[2.]],[[0.]],[[0.]],[[0.]],[[15.76186309]],[[0.]],[[0.]],[[0.]]
23,7,10.0,8.0,2.0,0.0,0.0,[[10.]],[[8.]],[[2.]],[[0.]],[[0.]],[[0.]],[[16.38640744]],[[0.]],[[0.]],[[0.]]
